Time_1,Time_2,Time_3,Time_4,Time_5,Time_6
10765.2,10468,12805.3,11119.3,12179.5,13008.3
56918.6,58701.4,59623.7,56073.2,51666.3,51696.3
26306.8,25693.2,25482.6,25298.9,25133.1,27730.3
4.97921,4.94094,6.39282,5.01008,5.60467,4.9912
6886.43,7167.76,6264.43,6054.79,7026.85,6884.34
2059.7,2048.82,1481.9,1097.65,1325.33,1237.82
11755.1,11201.6,10984.5,10111.4,7947.63,7802.94
39646.3,38898.9,42290.6,36991.9,37724.5,38264.2
13619,12113.8,13882.4,12037.3,12925,11795.6
34.8377,57.2974,32.6478,35.0479,47.7844,21.3505
14008.7,12955.9,13267.5,13110.3,14076.8,14918.6
14319,14073.6,14316.8,14844.5,13358.9,15443.1
17408.8,17509.9,18493.5,17732.2,18961.3,20991.8
35186.8,32874.4,36486.1,39139.6,34911.4,38718.8
5.86073,5.86907,5.91682,5.96828,5.82134,5.85217
39982,39527.9,41061.6,39578.9,40139.1,45708.9
18959.8,18092.2,17962.8,19128.5,16148.5,20506.1
2279.08,2591.58,2598.83,2210.3,2848.55,2899.75
9963.05,10296,10981.3,8719.37,9527.72,9439.68
23264.3,22313.1,21851.6,22394.6,19283.1,21813.8
23975.3,23951.7,24242.3,23218,22137.6,22220.7
4.19784,5.78018,4.42182,4.45583,4.40519,5.28049
15086.3,14924.3,14239,15299.8,15397.5,15017.8
17800.1,18212.5,17644.8,16620.8,19214.9,19169.6
68475.8,70347.6,72728.1,70251.7,69853.9,71699.7
6.76598,6.43076,8.23987,6.42805,14.8554,9.61147
9.29729,4.34123,5.17332,4.37099,6.6306,4.33943
85720,81650.3,88465.6,82473.9,80914.3,89048.4
5.09436,5.09862,5.08919,5.12141,5.06622,5.09436
17586,20572,19578.8,15610.9,11267.2,10817.7
18799.1,17510.5,19646.4,16869.9,16873.3,16457.3
5836.58,7754.95,7421.7,9304.61,7232.55,7964.42
7218.93,7330.21,8100.24,6602.36,5266.06,6017.21
17.3668,5.5592,5.59256,5.65996,5.73302,5.70187
8253.39,8773.11,8197.74,9047.77,9464.3,9899.11
10977,10318.6,10839.5,10584.3,13122.3,19589.6
24817,25363.5,25421.5,25793.6,25741.3,23245.4
69473.2,65634.2,69592.6,67060.3,68400.3,75966.8
28230.5,28576.7,29371.7,27509.6,27389.5,29262.1
18909.8,18075.3,20879.3,26925.1,18544.3,21938.1
23273.7,22312.8,23273.7,22183,23419.3,20955.8
30689.4,30689.6,30267.8,33734.1,32133.2,36494.2
19.5247,19.747,19.7038,19.8586,19.6347,14.8265
6.63834,7.11986,6.63117,5.17971,4.31344,5.51102
10983.9,9968.75,11321.2,13042.6,10709,14165.4
27609.6,26585.6,28541,25642.2,26133.4,26883.3
9.27092,23.7074,9.2427,9.36155,9.59438,20.268
15747.9,15238.9,16775.8,16047.3,14905.6,15086.6
26697.3,26653.5,30321.3,26211.5,27435.6,24122.8
25401.3,24027.7,25226.5,25463,27563.2,28880.8
7.85416,6.53033,7.57016,6.08415,9.56101,11.979
17326.8,18057.7,16394.8,13531.1,18748.5,15061.5
4.7397,5.62243,4.78316,4.38908,5.92518,4.37494
3.47264,3.17063,3.4706,3.65126,3.45501,3.47984
20282.3,19942.3,22117.9,22579.2,22135,23949.4
47933.9,46406.1,47119.6,48927.5,46275.8,47048.2
16101,16334.9,16537.7,15937.8,14669,14205.3
92248.5,88906.2,97551.8,86886.2,91592.8,91625.6
1187.84,1277.08,1156.48,1090.38,1041.04,1521.2
5366.05,5043.51,7060.88,5242.61,3525,2630.12
808.696,741.406,969.127,658.647,787.268,1084.78
18015.7,16325,17487.5,18552.4,19148.8,15589.2
48076.1,46798.3,46846.1,44501,37477.3,40077
86.8147,84.3115,61.9215,40.6203,106.054,96.9228
11906.4,10937,11796.2,12571.4,11391.9,12508.2
24592,24087.1,24889.1,24090.3,26111.8,28931.5
13365.1,13445.1,13420.9,12507.7,13408.1,12756.9
47999.4,46801.8,49822,45663.6,50382.5,50861.5
15645.5,15738.3,16735,15271.4,16073.5,17698.8
5.93953,5.92768,5.93693,5.89362,5.88622,5.92847
34985.3,35360.8,37165.2,33821.1,36398.3,37959.2
22578.6,20421.1,21960.5,21325.8,21753.1,24905.1
31382.8,31629.6,32300.1,30667,32313.9,31511.1
1853.02,1266.26,1900.12,1525.55,1445.16,2162.1
1369.75,964.665,1403.79,1144.66,1383.03,1912.63
9683.22,10075.8,11094.7,10316.6,9701.61,11368.9
13658.5,14147,13844.7,12408.2,13579.8,14956.6
14573.9,13610.5,15459.8,14788.9,15397.9,16954.8
13287.7,12313.9,13256,11524.3,11023.9,9452.4
11915.5,11278.2,13278.2,12076.5,15513,13334.6
11984.1,16260.2,16355.5,19008.2,15714.7,20370.8
6282.12,6626.63,6897.63,8126.36,7587.27,7773.9
20061.2,19682.9,22411.1,22705.2,21549.3,22163.4
33776.9,34398.1,36849.2,32096.4,35216,33119.1
67013.2,62053.5,64147.3,66498.5,66211.7,67004.6
56775.8,55964.3,56413.8,58236.9,58306.1,59640.7
5.13575,5.15186,5.33476,5.39356,5.48662,5.12044
725.332,786.854,780.245,556.099,905.412,710.586
6.60417,6.61422,6.12185,6.64322,6.24652,6.59729
588.798,752.584,550.21,704.339,580.531,547.615
96.7378,199.173,107.536,103.128,115.397,181.314
1848.04,2004.12,1779.95,1859.61,2131.66,2023.77
7599.1,8717.03,8872.2,8065.17,7698,5833.12
4.88755,4.83701,4.88113,4.89211,4.85359,4.87306
4.09397,4.11152,4.08909,4.12739,4.0063,4.10382
4.17264,4.26712,4.25893,4.28002,4.23395,4.39077
61.4666,46.2332,29.2666,34.7047,50.4919,23.8382
22.1283,7.97118,11.8359,10.3495,28.2084,21.9949
17129.5,16289.7,16543.4,15375.7,15443.4,15942.9
33596,34238.1,32862,33897.4,34441.5,36132.8
37070.3,36207.8,38800.3,35385.6,32705,36638.2
33284.7,34219.8,34124.5,32944,31749.2,34479.2
25655.6,22680.7,26633.6,23685.7,29222.5,32686.9
30427.8,29610.9,29406.1,32252.3,30783,34057.6
23367,23376.1,25210.2,22163.2,23479.3,23722.9
5.66073,4.89234,5.66006,4.95975,4.55651,5.65075
63764.3,57122.5,60498.5,63471.5,57972.9,64567.9
56613.1,57135.5,57681,57892.5,55722.1,51327.5
50702.9,48368.1,49898,51245.6,51449.2,52726
106.244,130.026,105.966,39.8747,87.1434,105.967
651.218,733.744,616.351,614.18,503.279,687.858
12544,11953,13132.8,11902.2,12290.8,14276.3
82419.6,78544.9,79880.3,77670.6,78738.8,78554.1
8.82157,7.07368,6.43681,7.07768,6.42766,7.09203
8.46235,8.39355,8.46212,8.51341,7.96747,8.48452
257.276,219.155,254.375,263.662,340.12,430.754
144.686,127.595,105.823,129.589,145.538,213.229
8.16946,8.17645,8.11683,8.18592,8.09095,8.08634
23351.9,23842.1,24539.3,22651.4,23009.4,25227.4
4.51809,4.59016,4.56288,4.54601,4.47818,4.5119
5483.64,4930.57,4834.63,4683.28,5054.58,5332.78
13291,13698.1,12685.2,12916,11938,10563.4
43132.2,42273.5,46066.5,42936.4,41777,43371.2
2541.13,2620.33,2515.69,2334.66,2930.66,3142.02
16547.1,15023.4,15896.1,17979,18145.8,19410.2
51265.2,50573.2,52411.4,47272.9,51149.3,47276.2
18737.1,20332.4,19104.9,19702.1,19493.7,18664
12080.7,13130.1,13438.8,14811.3,13673.5,15441.7
13089.7,10877.9,11961.1,12737.7,9813.38,13239.9
4.2003,4.2,4.19793,4.22557,4.16938,4.19617
21823.1,21286.2,21039.4,22266.9,21956.1,29225.6
1524.5,1486.53,1443.46,1212.28,1520.56,1820.54
25108.3,24879.9,27223.2,25996,25906.9,25110
7268.52,6521.99,7892.87,6170.08,6415.22,6855.62
